flat_index,place_index,view_index,place_label,donor_flat_index,donor_place_index,donor_place_label,latitude,longitude,year,month,heading,aligned_confidence_mean,shuffled_confidence_mean,aligned_delta_mean,aligned_delta_abs_mean,aligned_delta_abs_max,shuffled_delta_mean,shuffled_delta_abs_mean,shuffled_delta_abs_max,delta_abs_difference_mean,delta_abs_difference_max,target_abs_difference_mean,target_spatial_correlation,aligned_target_std,shuffled_target_std,selected,selection_reason
34,8,2,869,30,7,650,6.24710989082106,-75.58739621258317,2017.0,6.0,372.0,0.4764391779899597,0.42834410071372986,0.004830684047192335,0.07835502177476883,0.6304064989089966,0.0012259799987077713,0.09112682938575745,0.487155020236969,0.08175913989543915,0.4689536988735199,0.07018065452575684,0.9874944686889648,0.7430998682975769,0.7539187669754028,False,
35,8,3,869,31,7,650,6.247112510755563,-75.5874025397643,2015.0,1.0,354.0,0.4904009699821472,0.4376295506954193,0.014897043816745281,0.09495017677545547,0.9828742146492004,0.005925002973526716,0.09772069752216339,0.8331191539764404,0.0988079383969307,0.8860229253768921,0.05350465700030327,0.9925909042358398,0.8302767276763916,0.8181441426277161,False,
36,9,0,141,32,8,869,6.233171456315972,-75.57362508224631,2019.0,6.0,300.0,0.4565585255622864,0.4731121361255646,-0.0007869857945479453,0.05888998880982399,0.2809982895851135,0.0003363199648447335,0.08303829282522202,0.36634117364883423,0.07758736610412598,0.4936925768852234,0.08149664103984833,0.9836745262145996,0.8417637944221497,0.8259356021881104,False,
37,9,1,141,33,8,869,6.233161764035788,-75.57363472095489,2014.0,4.0,305.0,0.44485971331596375,0.48893022537231445,0.0027418402023613453,0.07163282483816147,0.48432883620262146,-0.0012807336170226336,0.07912813872098923,0.5043466091156006,0.07651855051517487,0.5854304432868958,0.07735719531774521,0.9802026748657227,0.831898033618927,0.8380023241043091,False,
38,9,2,141,34,8,869,6.233186548133436,-75.57358889979764,2015.0,1.0,306.0,0.45051854848861694,0.4764391779899597,0.01724974997341633,0.1056978777050972,0.9619044065475464,0.0061130705289542675,0.12549813091754913,0.6213313341140747,0.10426992177963257,1.0566245317459106,0.08616004884243011,0.9811248183250427,0.8228658437728882,0.8289468288421631,False,
39,9,3,141,35,8,869,6.233198320455386,-75.57359359988314,2013.0,6.0,307.0,0.4626804292201996,0.4904009699821472,0.013906247913837433,0.09948895871639252,0.6446112990379333,0.004039022605866194,0.13572290539741516,0.7764967083930969,0.12132653594017029,1.0107696056365967,0.07850968837738037,0.9823533892631531,0.837337851524353,0.8426097631454468,False,
40,10,0,778,36,9,141,6.245166031533983,-75.57232081801659,2014.0,1.0,224.0,0.4624851644039154,0.4565585255622864,0.0072095575742423534,0.08813074976205826,0.5144644975662231,0.0013944716192781925,0.11050289869308472,0.5649186968803406,0.09197895973920822,0.5953047871589661,0.11223187297582626,0.9738813042640686,0.7383831739425659,0.7460571527481079,False,
41,10,1,778,37,9,141,6.245143499769607,-75.57235006114576,2013.0,5.0,207.0,0.4729657769203186,0.44485971331596375,0.0038793347775936127,0.05664104223251343,0.2884899377822876,0.001139723346568644,0.06254269927740097,0.27661702036857605,0.05952420458197594,0.2867427170276642,0.08141165971755981,0.9822160601615906,0.8260321617126465,0.8289963603019714,False,
42,10,2,778,38,9,141,6.245177411030499,-75.5723561046763,2013.0,12.0,224.0,0.4254617393016815,0.45051854848861694,0.0030347637366503477,0.07411790639162064,0.46562016010284424,0.00025660888059064746,0.08317326754331589,0.471362829208374,0.07413675636053085,0.4490910768508911,0.06267091631889343,0.9891523718833923,0.8204739689826965,0.8173041939735413,False,
43,10,3,778,39,9,141,6.245165101184789,-75.5723737890297,2018.0,12.0,209.0,0.4323500096797943,0.4626804292201996,0.0036252092104405165,0.06431347876787186,0.2607949674129486,0.002797557972371578,0.07216136157512665,0.3751254975795746,0.05821077525615692,0.32653191685676575,0.10081589967012405,0.9776338934898376,0.798814594745636,0.8142963647842407,False,
