mask,transform,composition,threshold,top_fraction,semantic_disabled,sample_count,aligned_coverage,shuffled_coverage,aligned_zero_active_image,shuffled_zero_active_image,aligned_effective_confidence_mean,shuffled_effective_confidence_mean,aligned_delta_abs_mean,shuffled_delta_abs_mean,aligned_pre_target_std,shuffled_pre_target_std,aligned_target_std,shuffled_target_std,aligned_target_change_from_ru,shuffled_target_change_from_ru,aligned_target_correlation_with_ru,shuffled_target_correlation_with_ru,aligned_saturation_fraction,shuffled_saturation_fraction,pre_transform_pair_difference,target_pair_difference,target_pair_correlation,target_pair_sign_disagreement,pair_difference_amplification,aligned_coverage_min,aligned_coverage_max,shuffled_coverage_min,shuffled_coverage_max,aligned_delta_retained_ratio,shuffled_delta_retained_ratio
confidence_ge_0.5,per_image_zscore,ru_additive,0.5,,False,160,0.29693877696990967,0.29693877696990967,0.0,0.0,0.1794123351573944,0.1794123351573944,0.03348054736852646,0.03832286596298218,0.4436165392398834,0.4386204183101654,0.7807005047798157,0.7807047963142395,0.03718128800392151,0.04348365217447281,0.9941967129707336,0.9918524026870728,0.3421249985694885,0.3423125147819519,0.035748131573200226,0.055577702820301056,0.9889327883720398,0.03046875074505806,1.6366641521453857,0.11224489659070969,0.5408163070678711,0.11224489659070969,0.5408163070678711,0.4004084382898021,0.3936200831333261
confidence_ge_0.6,per_image_zscore,ru_additive,0.6,,False,160,0.12643495202064514,0.12643493711948395,0.0,0.0,0.08654385060071945,0.08654385060071945,0.01666915789246559,0.018473995849490166,0.4510905146598816,0.45057734847068787,0.7798980474472046,0.7795669436454773,0.021034441888332367,0.024173760786652565,0.9971634149551392,0.9960193634033203,0.3404531180858612,0.3402499854564667,0.02203122340142727,0.035576917231082916,0.9937686920166016,0.01954687386751175,1.7021923065185547,0.030612245202064514,0.2602040767669678,0.030612245202064514,0.2602040767669678,0.19935371443785427,0.18974926846820758
confidence_ge_0.7,per_image_zscore,ru_additive,0.7,,False,160,0.04381377622485161,0.04381377622485161,0.01875000074505806,0.01875000074505806,0.03344539552927017,0.03344539552927017,0.006460013333708048,0.007333518471568823,0.4564221501350403,0.4558224678039551,0.7789615392684937,0.779020369052887,0.009547702968120575,0.010961061343550682,0.9988487958908081,0.998536229133606,0.3401718735694885,0.33909374475479126,0.00971793569624424,0.01725088804960251,0.997517466545105,0.009343749843537807,1.9394012689590454,0.0,0.12244898080825806,0.0,0.12244898080825806,0.07725811115958409,0.07532370238768211
top_20pct_per_image,per_image_zscore,ru_additive,,0.2,False,160,0.20408162474632263,0.20408162474632263,0.0,0.0,0.12939545512199402,0.12939545512199402,0.02480357326567173,0.0275593101978302,0.44752970337867737,0.44492149353027344,0.7800189256668091,0.7801021933555603,0.029652202501893044,0.03368333354592323,0.9957388043403625,0.9944222569465637,0.3413906395435333,0.3417656421661377,0.029475253075361252,0.04589919000864029,0.9914953112602234,0.02500000037252903,1.6449180841445923,0.20408163964748383,0.20408163964748383,0.20408163964748383,0.20408163964748383,0.2966367283663502,0.283065937230413
semantic_off,shared_base,ru_additive,,,True,160,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4589468538761139,0.4589468538761139,0.7622815370559692,0.7622815370559692,0.0,0.0,1.0,1.0,0.31718748807907104,0.31718748807907104,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,shared_base,ru_additive,,,False,160,1.0,1.0,0.0,0.0,0.4357421398162842,0.4357420802116394,0.0836159884929657,0.0973600372672081,0.41736945509910583,0.40011662244796753,0.7453376054763794,0.738293468952179,0.07157717645168304,0.08569484949111938,0.9864566922187805,0.9807012677192688,0.2819843888282776,0.2660468816757202,0.04726932570338249,0.07499296963214874,0.9836899042129517,0.04326562583446503,1.6630992889404297,1.0,1.0,1.0,1.0,1.0,1.0
confidence_ge_0.5,shared_base,ru_additive,0.5,,False,160,0.29693877696990967,0.29693877696990967,0.0,0.0,0.1794123351573944,0.1794123351573944,0.03348054736852646,0.03832286596298218,0.4436165392398834,0.4386204183101654,0.7565733194351196,0.754420280456543,0.034054674208164215,0.03992048278450966,0.9944067001342773,0.9920818209648132,0.30512499809265137,0.30000001192092896,0.035748131573200226,0.05300567299127579,0.9894084930419922,0.02942187525331974,1.546492338180542,0.11224489659070969,0.5408163070678711,0.11224489659070969,0.5408163070678711,0.4004084382898021,0.3936200831333261
confidence_ge_0.6,shared_base,ru_additive,0.6,,False,160,0.12643495202064514,0.12643493711948395,0.0,0.0,0.08654385060071945,0.08654385060071945,0.01666915789246559,0.018473995849490166,0.4510905146598816,0.45057734847068787,0.7595775723457336,0.7589863538742065,0.01777833327651024,0.020529141649603844,0.9973174333572388,0.9961220026016235,0.3111875057220459,0.30973440408706665,0.02203122340142727,0.032357268035411835,0.9940391778945923,0.018187498673796654,1.5335289239883423,0.030612245202064514,0.2602040767669678,0.030612245202064514,0.2602040767669678,0.19935371443785427,0.18974926846820758
confidence_ge_0.7,shared_base,ru_additive,0.7,,False,160,0.04381377622485161,0.04381377622485161,0.01875000074505806,0.01875000074505806,0.03344539552927017,0.03344539552927017,0.006460013333708048,0.007333518471568823,0.4564221501350403,0.4558224678039551,0.7612355947494507,0.7607842683792114,0.007244487293064594,0.008148393593728542,0.9989102482795715,0.9985801577568054,0.3149999976158142,0.3136405944824219,0.00971793569624424,0.014240304008126259,0.997636616230011,0.007921875454485416,1.567584753036499,0.0,0.12244898080825806,0.0,0.12244898080825806,0.07725811115958409,0.07532370238768211
top_20pct_per_image,shared_base,ru_additive,,0.2,False,160,0.20408162474632263,0.20408162474632263,0.0,0.0,0.12939545512199402,0.12939545512199402,0.02480357326567173,0.0275593101978302,0.44752970337867737,0.44492149353027344,0.7580405473709106,0.7568156123161316,0.026289399713277817,0.029732245951890945,0.9958585500717163,0.9945287704467773,0.3080156147480011,0.3049375116825104,0.029475253075361252,0.04335733503103256,0.9917486310005188,0.02423437498509884,1.5412849187850952,0.20408163964748383,0.20408163964748383,0.20408163964748383,0.20408163964748383,0.2966367283663502,0.283065937230413
semantic_off,center_only,ru_additive,,,True,160,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4589468538761139,0.4589468538761139,0.578486979007721,0.578486979007721,0.0,0.0,1.0,1.0,0.06079687550663948,0.06079687550663948,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,center_only,ru_additive,,,False,160,1.0,1.0,0.0,0.0,0.4357421398162842,0.4357420802116394,0.0836159884929657,0.0973600372672081,0.41736945509910583,0.40011662244796753,0.5545760989189148,0.5435181856155396,0.058657772839069366,0.07142510265111923,0.9899009466171265,0.9854168891906738,0.041734375059604645,0.03479687497019768,0.04726932570338249,0.058787375688552856,0.9872228503227234,0.04331250116229057,1.2837274074554443,1.0,1.0,1.0,1.0,1.0,1.0
confidence_ge_0.5,center_only,ru_additive,0.5,,False,160,0.29693877696990967,0.29693877696990967,0.0,0.0,0.1794123351573944,0.1794123351573944,0.03348054736852646,0.03832286596298218,0.4436165392398834,0.4386204183101654,0.5701956152915955,0.5668991804122925,0.028548279777169228,0.03373124822974205,0.995707631111145,0.9938148260116577,0.05450000241398811,0.050859373062849045,0.035748131573200226,0.04296370595693588,0.9916168451309204,0.03046875074505806,1.2369742393493652,0.11224489659070969,0.5408163070678711,0.11224489659070969,0.5408163070678711,0.4004084382898021,0.3936200831333261
confidence_ge_0.6,center_only,ru_additive,0.6,,False,160,0.12643495202064514,0.12643493711948395,0.0,0.0,0.08654385060071945,0.08654385060071945,0.01666915789246559,0.018473995849490166,0.4510905146598816,0.45057734847068787,0.5745102763175964,0.5735676884651184,0.01583283022046089,0.018353600054979324,0.997859001159668,0.9968978762626648,0.05753124877810478,0.056812502443790436,0.02203122340142727,0.02733662724494934,0.9952040910720825,0.01954687386751175,1.2788745164871216,0.030612245202064514,0.2602040767669678,0.030612245202064514,0.2602040767669678,0.19935371443785427,0.18974926846820758
confidence_ge_0.7,center_only,ru_additive,0.7,,False,160,0.04381377622485161,0.04381377622485161,0.01875000074505806,0.01875000074505806,0.03344539552927017,0.03344539552927017,0.006460013333708048,0.007333518471568823,0.4564221501350403,0.4558224678039551,0.5771337747573853,0.5763987302780151,0.007140052504837513,0.008355324156582355,0.9991546869277954,0.9987488985061646,0.059828124940395355,0.05939062312245369,0.00971793569624424,0.013211345300078392,0.9979841113090515,0.009343749843537807,1.436030387878418,0.0,0.12244898080825806,0.0,0.12244898080825806,0.07725811115958409,0.07532370238768211
top_20pct_per_image,center_only,ru_additive,,0.2,False,160,0.20408162474632263,0.20408162474632263,0.0,0.0,0.12939545512199402,0.12939545512199402,0.02480357326567173,0.0275593101978302,0.44752970337867737,0.44492149353027344,0.572494387626648,0.5703967809677124,0.022760625928640366,0.025964131578803062,0.9967808723449707,0.9956395030021667,0.05573437735438347,0.0540468767285347,0.029475253075361252,0.0356634296476841,0.9934300184249878,0.02500000037252903,1.247341513633728,0.20408163964748383,0.20408163964748383,0.20408163964748383,0.20408163964748383,0.2966367283663502,0.283065937230413
