mask,transform,composition,flat_index,place_label,aligned_coverage,shuffled_coverage,aligned_zero_active_image,shuffled_zero_active_image,aligned_effective_confidence_mean,shuffled_effective_confidence_mean,aligned_delta_abs_mean,shuffled_delta_abs_mean,aligned_pre_target_std,shuffled_pre_target_std,aligned_target_std,shuffled_target_std,aligned_target_change_from_ru,shuffled_target_change_from_ru,aligned_target_correlation_with_ru,shuffled_target_correlation_with_ru,aligned_saturation_fraction,shuffled_saturation_fraction,pre_transform_pair_difference,target_pair_difference,target_pair_correlation,target_pair_sign_disagreement,pair_difference_amplification
semantic_off,per_image_zscore,production_roundtrip,54,503,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.24103286862373352,0.24103286862373352,0.7657280564308167,0.7657280564308167,0.11588985472917557,0.11588985472917557,0.9637613296508789,0.9637613296508789,0.35499998927116394,0.35499998927116394,0.0,0.0,0.9999999403953552,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,55,503,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32027778029441833,0.32027778029441833,0.7158478498458862,0.7158478498458862,0.12481757253408432,0.12481757253408432,0.9565678238868713,0.9565678238868713,0.32499998807907104,0.32499998807907104,0.0,0.0,0.9999999403953552,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,56,1001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4855363368988037,0.4855363368988037,0.7504269480705261,0.7504269480705261,0.11444568634033203,0.11444568634033203,0.965654730796814,0.965654730796814,0.21250000596046448,0.21250000596046448,0.0,0.0,0.9999998807907104,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,57,1001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3801267445087433,0.3801267445087433,0.7484368681907654,0.7484368681907654,0.15329605340957642,0.15329605340957642,0.9422591924667358,0.9422591924667358,0.3075000047683716,0.3075000047683716,0.0,0.0,0.9999998807907104,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,58,1001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5707895159721375,0.5707895159721375,0.7874799370765686,0.7874799370765686,0.0645277202129364,0.0645277202129364,0.9879055023193359,0.9879055023193359,0.32249999046325684,0.32249999046325684,0.0,0.0,1.0000001192092896,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,59,1001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4739794433116913,0.4739794433116913,0.7743262648582458,0.7743262648582458,0.07989107817411423,0.07989107817411423,0.9856979250907898,0.9856979250907898,0.29750001430511475,0.29750001430511475,0.0,0.0,0.9999999403953552,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,60,551,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5434985756874084,0.5434985756874084,0.7603597044944763,0.7603597044944763,0.10473316162824631,0.10473316162824631,0.9716367125511169,0.9716367125511169,0.3474999964237213,0.3474999964237213,0.0,0.0,0.9999999403953552,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,61,551,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5346997380256653,0.5346997380256653,0.743511974811554,0.743511974811554,0.08040710538625717,0.08040710538625717,0.9814738631248474,0.9814738631248474,0.3050000071525574,0.3050000071525574,0.0,0.0,1.0,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,62,551,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3875996470451355,0.3875996470451355,0.7941012978553772,0.7941012978553772,0.09558405727148056,0.09558405727148056,0.9727142453193665,0.9727142453193665,0.3375000059604645,0.3375000059604645,0.0,0.0,1.0,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,63,551,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5402777791023254,0.5402777791023254,0.7874824404716492,0.7874824404716492,0.0682206079363823,0.0682206079363823,0.9870287775993347,0.9870287775993347,0.3125,0.3125,0.0,0.0,0.9999999403953552,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,64,459,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33532771468162537,0.33532771468162537,0.7886777520179749,0.7886777520179749,0.11729179322719574,0.11729179322719574,0.9608603715896606,0.9608603715896606,0.3425000011920929,0.3425000011920929,0.0,0.0,0.9999999403953552,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,65,459,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.31461387872695923,0.31461387872695923,0.7897881269454956,0.7897881269454956,0.08287245780229568,0.08287245780229568,0.9849050045013428,0.9849050045013428,0.38749998807907104,0.38749998807907104,0.0,0.0,1.0,0.0,0.0
