query_index,global_correct,refined_correct,ru_correct,top100_reachable,refined_distance_m,refined_raw_ca_difference_deg,nearest_gt_distance_m
383,True,True,True,True,0.06290897496996418,20.16204079133263,0.06290897496996418
384,True,True,True,True,1.4973126177119114,3.321258544921875,1.4973126177119114
385,True,True,True,True,6.198452662795454,8.579243177603075,4.74407915591379
386,True,True,True,True,10.092718000776626,24.354499999999945,4.384369383382382
387,True,True,True,True,3.8906715190345413,13.855400000000031,3.8906715190345413
388,True,True,True,True,7.633054294601253,0.21309999999999718,3.876796932725443
389,True,True,True,True,10.443382961579932,22.38059999999996,7.063304028115402
390,True,True,True,True,10.902821718691857,14.55541999999997,0.33592391053810633
391,False,False,False,False,39.77115649621921,28.70429999999982,10.315627879139134
392,False,False,True,True,29.261462780243313,20.38574,2.4539647297765432
393,True,True,True,True,10.023649886622014,1.080679492187528,3.4795761124334064
394,True,True,True,True,12.4007646995702,28.18199755859368,1.667916685483626
395,True,True,True,True,3.12819297375134,8.025900000000036,2.306526910668435
396,True,True,True,True,4.287791386201885,14.697900000000004,4.287791386201885
397,True,True,True,True,12.886780018193079,6.827872595775119,0.8371039203946025
398,True,True,True,True,11.722584785977618,11.84639999999996,4.0876794398851946
399,True,True,True,True,7.394177375898412,19.58026123046875,2.8676892555795686
400,True,True,True,True,15.145569753986507,4.245699999999999,2.562300184407613
401,True,True,True,True,10.6717841542604,22.724549999999965,8.551994252894525
402,True,True,True,True,10.39741927417149,0.21966552734375,2.8389596963573753
403,False,True,True,True,4.466508968861409,9.27316865234377,4.466508968861409
404,True,True,True,True,9.12619874579032,3.3025786621093403,9.12619874579032
405,True,True,True,True,5.950816252155259,3.42289999999997,4.3054658619928405
406,True,True,True,True,7.098069424588455,5.547705421027786,3.633119046450232
407,True,True,True,True,11.334305069421452,9.051119531250038,4.532149839122441
408,True,True,True,True,2.189396413392802,5.488278658037558,2.189396413392802
409,True,True,True,True,3.3190365468573044,11.408181899461624,3.3190365468573044
410,True,False,False,True,34.527149754843535,2.4098999999999933,5.168921211177769
411,False,True,True,True,11.594819688741795,21.00464917848194,3.277009021682656
412,False,False,False,False,3904.111770585441,3.161167080078144,10.931307026275142
413,True,True,True,True,1.480234170678355,3.7244294942698275,1.2729569311297588
414,False,False,False,False,138.43987126322708,1.256683349609375,15.613174529985388
415,True,True,True,True,8.543709657686962,11.05540000000002,8.543709657686962
416,True,True,True,True,6.662681841357757,8.735937543107724,3.8607282450824516
417,True,True,True,True,12.068385452005172,9.454126562499994,2.853624918236235
418,True,True,True,True,0.6109789885728638,8.902600000000007,0.6109789885728638
419,True,True,True,True,5.923019018841196,2.665300000000002,3.9341797979790396
420,True,True,True,True,16.051869011719745,2.763900000000035,3.6785141110778516
