group,layer,head,image_count,aligned_area_mean,aligned_attention_mass_mean,aligned_micro_enrichment,shuffled_area_mean,shuffled_attention_mass_mean,shuffled_micro_enrichment,random_area_mean,random_attention_mass_mean,random_micro_enrichment,aligned_minus_random_mass_mean,aligned_minus_random_micro_enrichment,aligned_minus_shuffled_mass_mean,aligned_minus_shuffled_micro_enrichment
summer2winter,1,0,402,0.04557386771787366,0.04199203655739959,0.9214060306961986,0.04557386897701251,0.05016080203781192,1.1006483136885539,0.04557386771787366,0.043718555523430125,0.959289999130008,-0.0017265189660305334,-0.03788396843380937,-0.008168765480412328,-0.17924228299235523
summer2winter,1,1,402,0.04557386771787366,0.055039214148691194,1.2076924102517046,0.04557386897701251,0.06444018737202167,1.413972278818929,0.04557386771787366,0.046242793084849694,1.014677827458425,0.008796421063841502,0.19301458279327965,-0.00940097322333048,-0.20627986856722447
summer2winter,1,2,402,0.04557386771787366,0.05243116050300684,1.150465455940309,0.04557386897701251,0.06104782774618164,1.3395357716276888,0.04557386771787366,0.044802671378311607,0.9830781020312744,0.007628489124695237,0.16738735390903448,-0.008616667243174801,-0.18907031568737986
summer2winter,1,3,402,0.04557386771787366,0.05734348712681297,1.2582536878765587,0.04557386897701251,0.06532433743134548,1.4333726518653733,0.04557386771787366,0.04611612672208628,1.011898463557438,0.011227360404726692,0.2463552243191207,-0.007980850304532518,-0.17511896398881466
summer2winter,1,4,402,0.04557386771787366,0.04941647588066868,1.0843160423991836,0.04557386897701251,0.05805024800738737,1.2737616820873372,0.04557386771787366,0.0464938980940178,1.0201876738186808,0.0029225777866508794,0.06412836858050275,-0.008633772126718689,-0.18944563968815364
summer2winter,1,5,402,0.04557386771787366,0.04777695953762576,1.0483411202531767,0.04557386897701251,0.05331270116501817,1.1698085407650847,0.04557386771787366,0.044986642320554666,0.9871148658930108,0.002790317217071091,0.06122625436016593,-0.00553574162739241,-0.12146742051190795
summer2winter,2,0,402,0.04557386771787366,0.04426097583294434,0.9711920021127718,0.04557386897701251,0.05664694254328288,1.2429697942006117,0.04557386771787366,0.04522298809734002,0.9923008592839702,-0.0009620122643956794,-0.02110885717119837,-0.012385966710338545,-0.2717777920878399
summer2winter,2,1,402,0.04557386771787366,0.045374493035881674,0.9956252411310311,0.04557386897701251,0.052892626721912354,1.1605910998820712,0.04557386771787366,0.04654523242607861,1.0213140722270537,-0.0011707393901969367,-0.025688831096022602,-0.007518133686030682,-0.16496585875104008
summer2winter,2,2,402,0.04557386771787366,0.04946321169399791,1.0853415382736735,0.04557386897701251,0.05721582832343098,1.2554525127610008,0.04557386771787366,0.04591155445796266,1.0074096572662972,0.003551657236035246,0.07793188100737636,-0.007752616629433072,-0.17011097448732726
summer2winter,2,3,402,0.04557386771787366,0.056747757577202955,1.2451819522648722,0.04557386897701251,0.057492169509560744,1.261516101223704,0.04557386771787366,0.045177547126748964,0.9913037753657836,0.01157021045045399,0.25387817689908854,-0.0007444119323577862,-0.016334148958831785
summer2winter,2,4,402,0.04557386771787366,0.05388449153987997,1.1823550257672548,0.04557386897701251,0.06159090641909163,1.3514522203536883,0.04557386771787366,0.0456867889224306,1.0024777621521173,0.008197702617449362,0.17987726361513756,-0.007706414879211664,-0.16909719458643346
summer2winter,2,5,402,0.04557386771787366,0.04993500517431035,1.0956938191736203,0.04557386897701251,0.05587604736682811,1.2260545049403644,0.04557386771787366,0.04536993650948879,0.9955252600098085,0.00456506866482156,0.10016855916381184,-0.005941042192517757,-0.1303606857667441
