group,layer,query,image_count,aligned_area_mean,aligned_attention_mass_mean,aligned_micro_enrichment,shuffled_area_mean,shuffled_attention_mass_mean,shuffled_micro_enrichment,random_area_mean,random_attention_mass_mean,random_micro_enrichment,aligned_minus_random_mass_mean,aligned_minus_random_micro_enrichment,aligned_minus_shuffled_mass_mean,aligned_minus_shuffled_micro_enrichment
all,1,56,20565,0.06302979775742258,0.07330729033306164,1.1630576797214738,0.06302979786321249,0.08300998555231408,1.3169959029927822,0.06302979782843225,0.06291379956774225,0.9981596282284493,0.010393490765319398,0.1648980514930245,-0.009702695219252424,-0.15393822327130846
all,1,57,20565,0.06302979775742258,0.08386685011091892,1.3305904999678109,0.06302979786321249,0.07623719921258137,1.2095421815889627,0.06302979782843225,0.06284436228629152,0.9970579702215532,0.021022487824627397,0.3335325297462577,0.007629650898337538,0.12104831837884822
all,1,58,20565,0.06302979775742258,0.08688782456254195,1.3785198057740835,0.06302979786321249,0.08271512379763395,1.3123177703527247,0.06302979782843225,0.06294325807752482,0.9986270025624548,0.023944566485017117,0.37989280321162866,0.004172700764907992,0.06620203542135883
all,1,59,20565,0.06302979775742258,0.08686319092316239,1.3781289804778583,0.06302979786321249,0.08120713115984757,1.2883926954054905,0.06302979782843225,0.06278201844398301,0.9960688532569358,0.024081172479179375,0.3820601272209224,0.005656059763314818,0.08973628507236775
all,1,60,20565,0.06302979775742258,0.054552017393809646,0.8654956756129752,0.06302979786321249,0.07248824649328969,1.150063128087511,0.06302979782843225,0.06320209531103316,1.0027335877400385,-0.00865007791722351,-0.13723791212706327,-0.017936229099480037,-0.28456745247453585
all,1,61,20565,0.06302979775742258,0.05251521735910418,0.833180800630442,0.06302979786321249,0.07144875638014841,1.133571085460353,0.06302979782843225,0.06291916121427787,0.9982446934947258,-0.0104039438551737,-0.1650638928642838,-0.018933539021044242,-0.3003902848299109
all,1,62,20565,0.06302979775742258,0.07027044145740458,1.1148765180533888,0.06302979786321249,0.08330543064416078,1.3216832905755234,0.06302979782843225,0.06305290492435889,1.0003666059026486,0.007217536533045689,0.11450991215074025,-0.0130349891867562,-0.20680677252213453
all,1,63,20565,0.06302979775742258,0.044991557133415634,0.7138140805491843,0.06302979786321249,0.06290601917696266,0.9980361877961522,0.06302979782843225,0.06286127577855533,0.9973263114323223,-0.01786971864513969,-0.28351223088313804,-0.017914462043547023,-0.28422210724696795
all,2,0,20565,0.06302979775742258,0.0582800544787845,0.9246428919712227,0.06302979786321249,0.07192713523937089,1.1411608108829325,0.06302979782843225,0.0629746714819729,0.9991253923008067,-0.004694617003188399,-0.07448250032958392,-0.01364708076058639,-0.2165179189117098
all,2,1,20565,0.06302979775742258,0.06741220061661603,1.0695290642698811,0.06302979786321249,0.07858955602909044,1.24686352635377,0.06302979782843225,0.06300091022824714,0.9995416834389389,0.004411290388368886,0.06998738083094225,-0.01117735541247442,-0.1773344620838888
all,2,2,20565,0.06302979775742258,0.051693247693053945,0.8201398311954189,0.06302979786321249,0.07303039023918506,1.1586645160702544,0.06302979782843225,0.06283768037009548,0.9969519582014255,-0.011144432677041537,-0.17681212700600657,-0.021337142546131116,-0.33852468487483556
all,2,3,20565,0.06302979775742258,0.06436603581887772,1.021200100730099,0.06302979786321249,0.07420749490695251,1.1773398840338645,0.06302979782843225,0.06307016926795066,1.0006405135492946,0.0012958665509270528,0.020559587180804417,-0.009841459088074801,-0.15613978330376543
all,2,4,20565,0.06302979775742258,0.055721528214462954,0.884050563336942,0.06302979786321249,0.0715371283017137,1.1349731512222814,0.06302979782843225,0.06299768662889217,0.9994905393853954,-0.007276158414429215,-0.11543997604845346,-0.01581560008725074,-0.2509225878853394
all,2,5,20565,0.06302979775742258,0.05701760751191402,0.9046135247229071,0.06302979786321249,0.07125747653796323,1.1305363328723739,0.06302979782843225,0.06286991199031809,0.9974633293517875,-0.00585230447840407,-0.09284980462888037,-0.014239869026049207,-0.22592280814946675
all,2,6,20565,0.06302979775742258,0.06512290663037194,1.0332082435200718,0.06302979786321249,0.07229398415090392,1.1469810566074892,0.06302979782843225,0.06286009771476751,0.9973076208474179,0.0022628089156044376,0.035900622672653926,-0.00717107752053198,-0.11377281308741738
all,2,7,20565,0.06302979775742258,0.06221948936024584,0.987144042563879,0.06302979786321249,0.0758029901500227,1.2026532325953296,0.06302979782843225,0.062827001759407,0.996782536577743,-0.0006075123991611634,-0.009638494013863963,-0.01358350078977686,-0.21550919003145064
all,2,8,20565,0.06302979775742258,0.0625619119113375,0.9925767515884187,0.06302979786321249,0.07756610703010383,1.2306259842120721,0.06302979782843225,0.06310325538252276,1.0011654416898252,-0.0005413434711852605,-0.008588690101406504,-0.015004195118766326,-0.2380492326236534
all,2,9,20565,0.06302979775742258,0.06702317657101325,1.0633569986843312,0.06302979786321249,0.08132790857470878,1.2903088909027907,0.06302979782843225,0.0629055658757049,0.9980289964904296,0.004117610695308363,0.06532800219390156,-0.014304732003695529,-0.22695189221845946
all,2,10,20565,0.06302979775742258,0.06677130210577242,1.0593608813842217,0.06302979786321249,0.07126124912649646,1.1305961869201597,0.06302979782843225,0.06309767303458595,1.0010768748828685,0.00367362907118647,0.058284006501353236,-0.0044899470207240425,-0.07123530553593804
all,2,11,20565,0.06302979775742258,0.07260905572559903,1.1519798303184048,0.06302979786321249,0.08200285004752123,1.3010171827852617,0.06302979782843225,0.0629604892919681,0.9989003845982054,0.009648566433630925,0.15307944572019938,-0.009393794321922194,-0.1490373524668569
all,2,12,20565,0.06302979775742258,0.06905466565985025,1.095587612792525,0.06302979786321249,0.07567010747525572,1.2005449809544888,0.06302979782843225,0.06301967895936439,0.9998394589635937,0.00603498670048586,0.09574815382893131,-0.0066154418154054685,-0.10495736816196377
all,2,13,20565,0.06302979775742258,0.06132736642202582,0.9729900555615177,0.06302979786321249,0.07351152257069514,1.1662979267398275,0.06302979782843225,0.06301447921802775,0.9997569624061591,-0.0016871127960019206,-0.026766906844641336,-0.012184156148669321,-0.19330787117830972
all,2,14,20565,0.06302979775742258,0.059882001351321025,0.9500585989785941,0.06302979786321249,0.07670705384968146,1.2169966658651103,0.06302979782843225,0.06285411575123026,0.9972127139344443,-0.0029721143999092378,-0.0471541149558502,-0.016825052498360436,-0.2669380668865162
all,2,15,20565,0.06302979775742258,0.07263525890812746,1.152395557219977,0.06302979786321249,0.07895866698833849,1.2527196606229785,0.06302979782843225,0.06315320049468422,1.0019578464552252,0.009482058413443241,0.15043771076475188,-0.006323408080211035,-0.10032410340300135
all,2,16,20565,0.06302979775742258,0.058101238833489915,0.9218058902409811,0.06302979786321249,0.0699275909013885,1.1094370166495793,0.06302979782843225,0.06291998021117148,0.9982576872995899,-0.004818741377681567,-0.07645179705860872,-0.01182635206789858,-0.18763112640859814
